merged_person_id,first_abs,last_abs,first_ts,frames,age_mode,gender_mode
67,2025-08-16 11:51:42.245,2025-08-16 11:51:48.245,00:10:42.245,5,22,Male
68,2025-08-16 11:51:58.444,2025-08-16 11:51:58.444,00:10:58.445,1,30,Male
69,2025-08-16 11:51:59.044,2025-08-16 11:52:14.044,00:10:59.045,16,28,Male
70,2025-08-16 11:51:59.644,2025-08-16 11:51:59.644,00:10:59.645,1,25,Female
71,2025-08-16 11:52:05.044,2025-08-16 11:52:23.043,00:11:05.044,25,26,Female
72,2025-08-16 11:52:06.244,2025-08-16 11:52:06.244,00:11:06.244,1,28,Female
73,2025-08-16 11:52:15.244,2025-08-16 11:52:15.244,00:11:15.244,1,28,Male
74,2025-08-16 11:52:15.244,2025-08-16 11:52:46.443,00:11:15.244,39,30,Female
75,2025-08-16 11:52:19.444,2025-08-16 11:52:19.444,00:11:19.444,1,30,Male
76,2025-08-16 11:52:23.643,2025-08-16 11:52:23.643,00:11:23.644,1,32,Female
77,2025-08-16 11:52:29.043,2025-08-16 11:53:11.642,00:11:29.044,63,23,Female
78,2025-08-16 11:53:18.242,2025-08-16 11:54:02.307,00:12:18.242,59,25,Female
79,2025-08-16 11:53:21.241,2025-08-16 11:53:21.241,00:12:21.242,1,41,Male
80,2025-08-16 11:53:30.241,2025-08-16 11:53:30.841,00:12:30.242,2,28,Female
81,2025-08-16 11:53:31.441,2025-08-16 11:54:03.640,00:12:31.442,18,30,Female
82,2025-08-16 11:53:32.041,2025-08-16 11:54:38.306,00:12:32.042,78,0,
83,2025-08-16 11:53:43.441,2025-08-16 11:53:43.441,00:12:43.441,1,29,Female
84,2025-08-16 11:53:51.240,2025-08-16 11:54:42.972,00:12:51.241,27,0,
85,2025-08-16 11:53:53.040,2025-08-16 11:53:53.040,00:12:53.041,1,36,Female
86,2025-08-16 11:54:40.305,2025-08-16 11:57:46.299,00:13:40.306,77,28,Male
87,2025-08-16 11:54:48.972,2025-08-16 11:54:48.972,00:13:48.972,1,31,Male
88,2025-08-16 11:54:57.638,2025-08-16 11:54:57.638,00:13:57.639,1,25,Male
89,2025-08-16 11:55:09.638,2025-08-16 11:55:09.638,00:14:09.638,1,31,Male
90,2025-08-16 11:55:13.638,2025-08-16 11:55:16.971,00:14:13.638,3,28,Female
91,2025-08-16 11:55:14.304,2025-08-16 11:55:30.970,00:14:14.305,19,0,Male
92,2025-08-16 11:55:16.971,2025-08-16 11:55:16.971,00:14:16.971,1,33,Male
93,2025-08-16 11:55:18.971,2025-08-16 11:55:18.971,00:14:18.971,1,32,Male
94,2025-08-16 11:55:39.637,2025-08-16 11:55:41.637,00:14:39.637,4,28,Male
95,2025-08-16 11:55:40.970,2025-08-16 11:56:58.301,00:14:40.971,113,34,Female
96,2025-08-16 11:55:49.636,2025-08-16 11:56:13.636,00:14:49.637,27,0,
97,2025-08-16 11:56:01.636,2025-08-16 11:56:01.636,00:15:01.637,1,32,Female
98,2025-08-16 11:56:10.302,2025-08-16 11:56:10.302,00:15:10.303,1,26,Male
99,2025-08-16 11:56:21.635,2025-08-16 11:56:21.635,00:15:21.636,1,30,Female
100,2025-08-16 11:56:32.302,2025-08-16 11:58:23.631,00:15:32.302,91,24,Female
101,2025-08-16 11:56:52.301,2025-08-16 11:56:52.301,00:15:52.302,1,27,Female
102,2025-08-16 11:57:13.634,2025-08-16 11:57:13.634,00:16:13.634,1,26,Male
103,2025-08-16 11:57:16.300,2025-08-16 11:57:34.300,00:16:16.301,8,31,Female
104,2025-08-16 11:57:35.633,2025-08-16 11:57:35.633,00:16:35.633,1,23,Male
105,2025-08-16 11:57:41.633,2025-08-16 11:57:41.633,00:16:41.633,1,33,Male
106,2025-08-16 11:57:48.966,2025-08-16 11:58:01.632,00:16:48.966,16,31,Male
107,2025-08-16 11:57:51.632,2025-08-16 11:57:52.966,00:16:51.633,2,24,Male
108,2025-08-16 11:57:58.299,2025-08-16 11:58:05.632,00:16:58.299,12,32,Male
109,2025-08-16 11:58:02.965,2025-08-16 11:58:03.632,00:17:02.966,2,39,Male
110,2025-08-16 11:58:08.299,2025-08-16 11:58:35.631,00:17:08.299,35,0,
111,2025-08-16 11:58:24.965,2025-08-16 11:58:24.965,00:17:24.965,1,24,Female
112,2025-08-16 11:58:36.964,2025-08-16 11:58:40.964,00:17:36.965,7,24,Female
113,2025-08-16 11:58:54.964,2025-08-16 11:58:54.964,00:17:54.964,1,28,Male
114,2025-08-16 11:58:58.964,2025-08-16 11:58:58.964,00:17:58.964,1,28,Male
115,2025-08-16 11:59:00.963,2025-08-16 11:59:01.630,00:18:00.964,2,25,Male
116,2025-08-16 11:59:03.630,2025-08-16 11:59:03.630,00:18:03.631,1,26,Female
117,2025-08-16 11:59:08.297,2025-08-16 11:59:08.297,00:18:08.297,1,25,Male
118,2025-08-16 11:59:09.630,2025-08-16 11:59:09.630,00:18:09.630,1,30,Female
119,2025-08-16 11:59:12.296,2025-08-16 11:59:12.296,00:18:12.297,1,29,Female
120,2025-08-16 11:59:14.963,2025-08-16 11:59:14.963,00:18:14.963,1,31,Female
121,2025-08-16 11:59:16.296,2025-08-16 12:00:20.827,00:18:16.297,14,0,
122,2025-08-16 11:59:25.829,2025-08-16 11:59:25.829,00:18:25.830,1,33,Male
123,2025-08-16 11:59:33.162,2025-08-16 11:59:33.896,00:18:33.163,2,24,Female
124,2025-08-16 11:59:54.428,2025-08-16 12:00:20.827,00:18:54.429,24,23,Female
125,2025-08-16 12:00:14.228,2025-08-16 12:00:14.228,00:19:14.228,1,28,Male
126,2025-08-16 12:00:14.961,2025-08-16 12:01:30.492,00:19:14.961,58,29,Female
127,2025-08-16 12:00:19.361,2025-08-16 12:01:18.759,00:19:19.361,44,23,Female
128,2025-08-16 12:00:29.627,2025-08-16 12:00:29.627,00:19:29.628,1,28,Female
129,2025-08-16 12:00:34.760,2025-08-16 12:00:36.227,00:19:34.761,2,23,Female
